seed,loss,accuracy,model-seed,dataset-seed
50,0.002864854214387985,0.9993411458333333,736526336,1372813824
104,0.0030041502440387073,0.9991927083333333,4180624640,365277440
123,0.0019785405112149115,0.9996197916666667,613947648,1914904320
519,0.006859251431766703,0.9981588541666667,311617792,1436402944
742,0.00234372282034019,0.9995338541666666,4049666560,3065824768
913,0.003023706952187543,0.9992473958333333,1238376192,3687399936
1185,0.0029168618136124376,0.9995494791666667,4003141120,3898529024
1283,0.001967389544210164,0.999671875,3418722304,4015133184
1412,0.0025226802370210254,0.9997083333333333,1632798208,374381824
1490,0.008446326525416225,0.9988229166666667,650269440,988359680
1681,0.0033339911276998465,0.9991614583333334,4014317056,3540401152
1696,0.0096252694313492,0.9977447916666666,683309056,3611397376
1895,0.004707862226127569,0.9990546875,1078340864,1941428736
1951,0.00609784634228951,0.9989505208333334,1751030272,4220676608
2236,0.002847157931692588,0.9994817708333333,2178374144,459002368
2306,0.002523018928128295,0.9996354166666667,3740012288,3307073536
2345,0.005789934742686455,0.9983333333333333,1679069696,3570585856
2549,0.0029607389688123173,0.9992890625,945938944,3027029760
2743,0.0023907211539432563,0.9996354166666667,835103488,788650496
2773,0.042084345011700254,0.9934296875,4247570688,2862171392
3175,0.0021400116534835735,0.99953125,804500736,689998592
3254,0.0015703808213002048,0.9997161458333333,1615692288,186924288
3284,0.0024930339748486102,0.9995911458333333,3973798912,1584410624
4157,0.0032697676921282738,0.999296875,500635136,743463936
4305,0.0020684829303354493,0.9996276041666666,1822441216,448162816
4430,0.0029104492162393097,0.9994947916666667,2876512000,4286832384
4647,0.0022656780071217022,0.9994401041666666,246245376,2025312768
4729,0.005175160457515934,0.9991171875,1026814208,894770944
4800,0.020254820367811288,0.9942213541666667,3875799296,30924800
4810,0.00658194404077949,0.9985703125,2587004160,2214068480
5358,0.0019913680385652698,0.9996744791666666,3203087616,1391068160
5615,0.025066897555952893,0.993375,2307285504,2849664256
5781,0.0027688529136503347,0.9993489583333334,1618460160,1860834816
5928,0.0024021645595882243,0.9995390625,3663314688,2279673088
6082,0.0027269376995876274,0.999609375,1149975552,911823616
6155,0.002174372523664109,0.9995651041666667,708732928,3552310016
6159,0.003470414022716189,0.9991067708333333,606731008,2409157376
6204,0.0016656633921690324,0.9997682291666666,3874105856,1973774080
6532,0.0025493138467524356,0.9995833333333334,2066458368,2224430848
6549,0.002533124609020888,0.9994348958333333,244984064,783810816
6589,0.004129730441976184,0.9990989583333333,698520832,1843510784
6910,0.001953574065422193,0.9995755208333333,3299481856,2783807488
7098,0.013580980990683505,0.9963489583333334,2256896000,1283041024
7238,0.002046788045981278,0.9995729166666667,4182124032,150166528
7310,0.002191398243822429,0.9995963541666667,3191817472,4091627776
7467,0.0031249455243038634,0.9992760416666666,133690880,1539406080
7790,0.0032066221331090976,0.999328125,2981887488,48259840
7884,0.0037436082541583648,0.999,3089011456,980387584
8048,0.002102563506356091,0.9994375,1583456000,979545856
8299,0.021876942320450326,0.9955885416666667,426758656,1078854656
8721,0.004323124960836139,0.9990260416666666,3478093056,2496741376
8745,0.0024834387106869448,0.9996328125,21610240,2320919808
8840,0.0043548442112272216,0.9989010416666667,3116460544,3077930496
8893,0.0018449580377152112,0.9996588541666667,2154788864,225003008
9132,0.00607186837643773,0.9987994791666667,1097194496,1269016064
9134,0.002517484602377711,0.9996484375,4280051712,979018752
9504,0.002531367316133886,0.9994713541666667,2151853568,1934131968
9816,0.0029509335438682076,0.9993307291666667,43133184,3382309376
10248,0.0069907781858588956,0.9981067708333333,4215369984,1080617216
11124,0.002014533730643355,0.9995859375,835792640,4276643072
11130,0.002290658022805777,0.9994661458333334,3871361280,2240793344
11498,0.005617817007364162,0.9982734375,3781424640,708523264
11598,0.0016340967528376495,0.9998333333333334,214070272,1902424320
11611,0.0022013472882293477,0.9996197916666667,3219803392,2466045184
12141,0.002022529267477997,0.9995833333333334,3680300032,632388608
12287,0.0019297878038972462,0.9995520833333333,239432960,4258140928
12457,0.00205823155476052,0.999703125,2694234368,480857600
12493,0.008780723735653737,0.9977447916666666,641352448,2405309952
12552,0.0043776626345158245,0.9995625,2893483520,623112960
12561,0.0026246921628529283,0.9994895833333334,1188185856,3862417920
13036,0.13363936394586926,0.9772682291666667,2753028864,2200475392
13293,0.0022202316658658672,0.9995677083333333,4199627520,756659456
13468,0.003016712494053839,0.999140625,2849090304,3284152576
13654,0.006566044392032685,0.998171875,714561024,2091857152
13716,0.0032344214513480743,0.99921875,1437559040,3722843648
14095,0.002477977323161516,0.9996015625,2966935808,22505984
14929,0.0015674168878710285,0.9997734375,2104810752,997291520
15043,0.010604290821337296,0.9970911458333334,3818607104,947755008
15399,0.002380766445067517,0.9994479166666667,1385697792,872399360
15622,0.0017843574032982968,0.9998020833333333,190569216,2822726144
15662,0.0016288023042822413,0.9997552083333333,733622016,1144421120
16069,0.002083040005711761,0.999578125,1259742208,1124547840
16149,0.0021462148812327842,0.9995078125,1612228096,3255385344
16197,0.015866228140007783,0.9970052083333333,982103296,4113234176
16284,0.002309225269345916,0.9995364583333334,2290918912,3753849600
17080,0.0020623857925093033,0.9996119791666667,3101050880,2347403264
17096,0.0023631260477704925,0.9995026041666667,2523230976,1027367680
17194,0.0024630334671625555,0.9995625,858113024,2231615232
17197,0.0026937166850887783,0.9994036458333333,621635328,1831352064
18146,0.011973091027835229,0.9965494791666667,356824576,3263539712
18289,0.002949831672604584,0.9993619791666667,1870666240,3883802368
18668,0.0062469814401410985,0.9988177083333334,3964495616,1756316928
19004,0.00422518494905186,0.9990572916666667,4249189120,3577906176
19093,0.00237156240131056,0.9995546875,1803973888,2750659072
19451,0.00336598252368276,0.9991744791666667,713913600,847080192
19488,0.002195270502847658,0.9995104166666666,2146102016,3257967104
19538,0.0021674482628926245,0.9995,1054505728,3574040832
19917,0.009750290924004123,0.9977395833333333,3550789632,2806581248
20013,0.0020615400947523693,0.9996614583333333,1205681408,2160832512
20294,0.0019446201346387775,0.99965625,87460096,1720362240
20338,0.024026282071640405,0.9921875,2343337984,3952990720
20415,0.002275323306773013,0.9996744791666666,76212736,4225253120
20539,0.0018521427126979688,0.9996875,2270922240,882614272
20751,0.003215408486217105,0.9992890625,3301316864,1214287872
20754,0.0025270961317898277,0.9993671875,1952060928,293427456
20976,0.0053387553437108486,0.9990052083333333,2037803520,22264576
21317,0.002038063288743918,0.9996458333333333,1264390912,289757184
21598,0.0018404463045638597,0.9996848958333333,3311665664,3767810816
22261,0.0022933983050412885,0.999484375,1924749312,1671875584
22286,0.002864372267591534,0.9993515625,4077845504,4162957824
22401,0.0023730480235632664,0.9994921875,3649412608,3216548096
22545,0.0026980527712633677,0.9995338541666666,2305222400,2107212288
23241,0.0033498963889530085,0.9994583333333333,2503544064,1070085632
23367,0.0015016300991167859,0.9996432291666667,1571155968,2423984896
23447,0.0031498113965256684,0.9991744791666667,3658834432,890779904
23633,0.003211742920029792,0.9993151041666667,1582415616,3378365696
23696,0.001746460269971673,0.9995911458333333,698865920,2182333696
24144,0.007620225132675841,0.9986380208333333,2926545152,4105730304
24173,0.0022909609149889243,0.9996979166666666,276578816,4034788864
24202,0.0035301434017552917,0.9991380208333334,3300282368,1944616192
24262,0.0033360936806469304,0.9991848958333334,3196541952,3129005056
24438,0.0021695536999613977,0.9996692708333333,72204800,1119360512
24566,0.002579305603833442,0.9995364583333334,4020452608,2878293248
25516,0.002307756182611532,0.9996822916666667,3395059200,356147712
26278,0.0019890769916867915,0.9996328125,3936246784,1888822016
26374,0.009033292138866576,0.9978697916666667,1147500544,466641664
26829,0.002609870525537796,0.9994739583333333,3185471488,1389899776
26932,0.002177665528676395,0.9996171875,2548089600,1350826752
27300,0.002240128327704345,0.9994635416666666,1311280128,3329396224
27484,0.0060579820378334264,0.9988098958333333,4228680960,2759108096
27584,0.0022338272146444067,0.9996484375,3886186240,276059904
27671,0.0018446623994920325,0.9997369791666667,133165312,3670957824
27714,0.0024484435328728676,0.9995598958333334,2027128576,3879067904
28090,0.11622612836219681,0.9830364583333333,2790567680,274163712
28716,0.0017806893170442587,0.99965625,2684870400,14702336
28778,0.0027071498238656205,0.9995755208333333,2580704256,3947663872
29022,0.0018804811955972884,0.9995546875,3292718336,3509147648
29052,0.0032282338827790227,0.99934375,2691652352,2847339776
29110,0.0019014434797354626,0.9996171875,3881332224,222137344
29195,0.0017634574126423105,0.9996770833333334,1496344320,1242578176
29565,0.0021780679270159455,0.9997421875,421385472,1649264128
29725,0.003105803297890816,0.9994401041666666,2501192448,3359015936
29726,0.006934540435225548,0.998875,695007488,3351269120
30371,0.0025206600980163785,0.9995885416666667,1827975168,358791936
30463,0.007758678517517789,0.9982994791666666,958166528,3529113088
30684,0.015743331159785157,0.9952109375,1678805760,1342738176
30899,0.00237594966586524,0.9995104166666666,89836032,58500608
31308,0.0020498462421480023,0.9995989583333333,1808059392,326289920
32103,0.0020812815506506014,0.999515625,3989714432,2355916800
32374,0.002800083381152945,0.9995234375,396625152,1068697088
32382,0.00251689879031134,0.9994453125,1777363200,1906699776
